"","Protein1","Protein2","Spectra_Count","Site_Count","Gene1","Gene2","Context","CC","MF","BP"
"64","A0A2R8Y619","Q6FI13",3,2,"H2BK1","H2AC18","poor",0.86,0.792,0
"65","A0A2R8Y619","Q6NXT2",6,1,"H2BK1","H3-5","poor",0.887,0.838,0
"66","A0A2R8Y619","Q71DI3",93,5,"H2BK1","H3C15","rich",0.752,0.951,0
"67","A0A2R8Y619","Q71UI9",7,4,"H2BK1","H2AZ2","poor",0.86,0.748,0
"68","A0A2R8Y619","Q7L7L0",24,1,"H2BK1","H2AW","poor",0,0,0
"69","A0A2R8Y619","Q7Z4V5",1,1,"H2BK1","HDGFL2","poor",0.681,0.37,0
"70","A0A2R8Y619","Q8IUE6",1,1,"H2BK1","H2AC21","poor",0.86,0.792,0
"71","A0A2R8Y619","Q92922",1,1,"H2BK1","SMARCC1","poor",0.621,0.485,0
"72","A0A2R8Y619","Q93077",24,1,"H2BK1","H2AC6","poor",0.833,0.792,0
"73","A0A2R8Y619","Q96BJ3",1,1,"H2BK1","AIDA","poor",0.327,0.428,0
"74","A0A2R8Y619","Q96KK5",5,3,"H2BK1","H2AC12","rich",0.86,0.811,0
"75","A0A2R8Y619","Q96QV6",1,1,"H2BK1","H2AC1","poor",0.794,0.868,0
"76","A0A2R8Y619","Q96T88",1,1,"H2BK1","UHRF1","poor",0.711,0.42,0
"77","A0A2R8Y619","Q9Y6F1",1,1,"H2BK1","PARP3","poor",0.511,0.232,0
"78","A0FGR8","P14618",1,1,"ESYT2","PKM","poor",0.529,0.53,0.129
"79","A2A3N6","P51665",2,1,"PIPSL","PSMD7","poor",0.488,0.106,0.123
"80","A4D1E9","P06733",1,1,"GTPBP10","ENO1","poor",0.45,0.602,0.163
"81","A4UGR9","P25490",1,1,"XIRP2","YY1","poor",0.276,0.243,0.206
"82","A4UGR9","P62318",1,1,"XIRP2","SNRPD3","poor",0.271,0.348,0.134
"83","A4UGR9","P63241",1,1,"XIRP2","EIF5A","poor",0.364,0.366,0.108
"84","A4UGR9","P68431",1,1,"XIRP2","H3C1","poor",0.307,0.381,0.287
"85","A4UGR9","P84243",1,1,"XIRP2","H3-3A","poor",0.328,0.332,0.238
"86","A4UGR9","Q16695",1,1,"XIRP2","H3-4","poor",0.329,0.39,0.266
"87","A4UGR9","Q71DI3",1,1,"XIRP2","H3C15","poor",0.32,0.39,0.266
"88","A4UGR9","Q9GZV4",1,1,"XIRP2","EIF5A2","poor",0.368,0.401,0.115
"89","A4UGR9","Q9UGI8",1,1,"XIRP2","TES","poor",0.508,0.394,0.207
"90","A6NHG4","P09104",1,1,"DDTL","ENO2","poor",0.719,0.327,0
"91","A6NHR9","P08670",1,1,"SMCHD1","VIM","poor",0.402,0.553,0.298
"92","A6NHR9","P11021",1,1,"SMCHD1","HSPA5","poor",0.349,0.692,0.247
"93","A6NHR9","P29401",1,1,"SMCHD1","TKT","poor",0.401,0.556,0.166
"94","A6NHR9","P53999",2,1,"SMCHD1","SUB1","poor",0.473,0.63,0.416
"95","A6NHR9","Q13151",2,1,"SMCHD1","HNRNPA0","poor",0.415,0.464,0.251
"96","A6NMY6","B2RXH8",1,1,"ANXA2P2","HNRNPCL2","poor",0.273,0.521,0
