"","Protein1","Protein2","Spectra_Count","Site_Count","Gene1","Gene2","Context","CC","MF","BP"
"1064","P06899","Q6P2Q9",1,1,"H2BC11","PRPF8","poor",0.647,0.599,0.233
"1065","P06899","Q71DI3",136,26,"H2BC11","H3C15","rich",0.815,0.93,0.383
"1066","P06899","Q7L7L0",38,6,"H2BC11","H2AW","rich",0,0,0
"1067","P06899","Q7Z4V5",2,2,"H2BC11","HDGFL2","poor",0.635,0.532,0.212
"1068","P06899","Q86XA9",1,1,"H2BC11","HEATR5A","poor",0.487,0,0.174
"1069","P06899","Q8IUE6",9,4,"H2BC11","H2AC21","rich",0.72,0.805,0.334
"1070","P06899","Q8N257",2,1,"H2BC11","H2BU1","poor",0,0,0
"1071","P06899","Q92922",2,2,"H2BC11","SMARCC1","rich",0.664,0.601,0.195
"1072","P06899","Q93077",39,6,"H2BC11","H2AC6","rich",0.775,0.805,0.263
"1073","P06899","Q93079",2,1,"H2BC11","H2BC9","poor",0.815,0.861,1
"1074","P06899","Q96A08",3,2,"H2BC11","H2BC1","rich",0.752,0.836,0.42
"1075","P06899","Q96ES7",1,1,"H2BC11","SGF29","poor",0.492,0.587,0.18
"1076","P06899","Q96KK5",25,11,"H2BC11","H2AC12","rich",0.72,0.739,0.334
"1077","P06899","Q96QV6",9,4,"H2BC11","H2AC1","rich",0.709,0.763,0.327
"1078","P06899","Q96T88",1,1,"H2BC11","UHRF1","poor",0.672,0.526,0.167
"1079","P06899","Q99877",2,1,"H2BC11","H2BC15","poor",0.856,0.862,1
"1080","P06899","Q99878",17,7,"H2BC11","H2AC14","rich",0,0,0
"1081","P06899","Q99879",2,1,"H2BC11","H2BC14","poor",0.856,0.862,1
"1082","P06899","Q99880",2,1,"H2BC11","H2BC13","poor",0.856,0.93,1
"1083","P06899","Q9BRT6",1,1,"H2BC11","LLPH","poor",0.531,0.662,0.09
"1084","P06899","Q9BTE3",1,1,"H2BC11","MCMBP","poor",0.675,0.589,0.235
"1085","P06899","Q9BTM1",8,3,"H2BC11","H2AJ","poor",0.72,0.739,0.334
"1086","P06899","Q9H9A5",1,1,"H2BC11","CNOT10","poor",0.662,1,0.095
"1087","P06899","Q9UIG0",1,1,"H2BC11","BAZ1B","poor",0.632,0.427,0.238
"1088","P06899","Q9UNH7",1,1,"H2BC11","SNX6","poor",0.576,0.583,0.187
"1089","P06899","Q9Y4D8",2,2,"H2BC11","HECTD4","poor",0.687,0.53,0.067
"1090","P06899","Q9Y520",1,1,"H2BC11","PRRC2C","poor",0.56,0.663,0.169
"1091","P06899","Q9Y6F1",3,2,"H2BC11","PARP3","rich",0.658,0.322,0.185
"1092","P07237","Q8WWQ0",1,1,"P4HB","PHIP","poor",0.694,0.522,0.314
"1093","P07237","Q96T17",1,1,"P4HB","MAP7D2","poor",0.874,0,0.311
"1094","P07355","P07910",5,2,"ANXA2","HNRNPC","rich",0.673,0.676,0.25
"1095","P07355","P0DMR1",1,1,"ANXA2","HNRNPCL4","poor",1,1,0
"1096","P07355","P31949",5,3,"ANXA2","S100A11","rich",0.626,0.672,0.276
"1097","P07355","P60903",7,3,"ANXA2","S100A10","rich",0.807,0.6,0.56
"1098","P07355","Q6P2Q9",2,1,"ANXA2","PRPF8","poor",0.534,0.654,0.166
"1099","P07355","Q86SE5",4,1,"ANXA2","RALYL","poor",0.354,0.666,0
"1100","P07737","P18754",1,1,"PFN1","RCC1","poor",0.65,0.63,0.22
"1101","P07737","P60709",1,1,"PFN1","ACTB","poor",0.714,0.557,0.302
"1102","P07737","P61313",1,1,"PFN1","RPL15","poor",0.688,0.707,0.096
"1103","P07737","P63261",1,1,"PFN1","ACTG1","poor",0.798,0.557,0.394
"1104","P07737","Q07864",1,1,"PFN1","POLE","poor",0.513,0.557,0.219
"1105","P07737","Q14258",1,1,"PFN1","TRIM25","poor",0.642,0.597,0.205
"1106","P07737","Q9BRT6",1,1,"PFN1","LLPH","poor",0.408,0.692,0.159
"1107","P07737","Q9NU22",2,1,"PFN1","MDN1","poor",0.71,0.568,0.135
"1108","P07814","P16401",3,1,"EPRS1","H1-5","poor",0.366,0.541,0.196
"1109","P07814","P24043",1,1,"EPRS1","LAMA2","poor",0.476,0.375,0.097
"1110","P07814","P46782",1,1,"EPRS1","RPS5","poor",0.685,0.578,0.438
"1111","P07814","P62424",1,1,"EPRS1","RPL7A","poor",0.637,0.566,0.491
"1112","P07814","Q13439",1,1,"EPRS1","GOLGA4","poor",0.649,0.596,0.128
"1113","P07814","Q8N2M8",2,1,"EPRS1","CLASRP","poor",0.365,1,0.236
"1114","P07814","Q8WXH0",1,1,"EPRS1","SYNE2","poor",0.464,0.483,0.091
"1115","P07814","Q9H6X2",1,1,"EPRS1","ANTXR1","poor",0.549,0.52,0.079
"1116","P07900","P09884",2,1,"HSP90AA1","POLA1","poor",0.527,0.586,0.233
"1117","P07900","P0DMV8",4,3,"HSP90AA1","HSPA1A","rich",0.705,0.765,0.503
"1118","P07900","P0DMV9",4,3,"HSP90AA1","HSPA1B","rich",0.702,0.78,0.464
"1119","P07900","P11142",9,5,"HSP90AA1","HSPA8","rich",0.783,0.762,0.485
"1120","P07900","P14618",2,1,"HSP90AA1","PKM","poor",0.733,0.65,0.233
"1121","P07900","P17066",1,1,"HSP90AA1","HSPA6","poor",0.669,0.724,0.309
"1122","P07900","P26639",1,1,"HSP90AA1","TARS1","poor",0.452,0.638,0.346
"1123","P07900","P31948",3,3,"HSP90AA1","STIP1","rich",0.543,0.582,0.273
"1124","P07900","P34931",1,1,"HSP90AA1","HSPA1L","poor",0.631,0.719,0.302
"1125","P07900","P46013",2,1,"HSP90AA1","MKI67","poor",0.563,0.66,0.232
"1126","P07900","P50570",1,1,"HSP90AA1","DNM2","poor",0.629,0.642,0.341
"1127","P07900","P53985",1,1,"HSP90AA1","SLC16A1","poor",0.647,0.501,0.253
"1128","P07900","P54652",2,2,"HSP90AA1","HSPA2","rich",0.701,0.747,0.426
"1129","P07900","P60866",1,1,"HSP90AA1","RPS20","poor",0.638,0.576,0.142
"1130","P07900","P78316",1,1,"HSP90AA1","NOP14","poor",0.534,0.541,0.134
"1131","P07900","Q02790",2,2,"HSP90AA1","FKBP4","rich",0.7,0.668,0.323
"1132","P07900","Q13207",1,1,"HSP90AA1","TBX2","poor",0.523,0.547,0.285
"1133","P07900","Q15050",1,1,"HSP90AA1","RRS1","poor",0.432,0.585,0.195
"1134","P07900","Q15185",3,1,"HSP90AA1","PTGES3","poor",0.556,0.547,0.446
"1135","P07900","Q16543",1,1,"HSP90AA1","CDC37","poor",0.539,0.6,0.363
"1136","P07900","Q58FF7",1,1,"HSP90AA1","HSP90AB3P","poor",0.626,0.642,0.348
"1137","P07900","Q6KC79",1,1,"HSP90AA1","NIPBL","poor",0.578,0.562,0.271
"1138","P07900","Q8IWJ2",2,1,"HSP90AA1","GCC2","poor",0.6,0.555,0.189
"1139","P07900","Q96EP5",1,1,"HSP90AA1","DAZAP1","poor",0.563,0.601,0.182
"1140","P07900","Q96J77",7,2,"HSP90AA1","TPD52L3","poor",1,1,0
"1141","P07900","Q9P2N5",1,1,"HSP90AA1","RBM27","poor",0.519,0.288,0.293
"1142","P07910","P08670",3,1,"HNRNPC","VIM","poor",0.66,0.66,0.345
"1143","P07910","P09651",4,2,"HNRNPC","HNRNPA1","rich",0.913,0.778,0.458
"1144","P07910","P13010",3,1,"HNRNPC","XRCC5","poor",0.779,0.581,0.334
"1145","P07910","P22090",1,1,"HNRNPC","RPS4Y1","poor",0.757,0.652,0.317
"1146","P07910","P46100",1,1,"HNRNPC","ATRX","poor",0.677,0.503,0.391
"1147","P07910","P51991",1,1,"HNRNPC","HNRNPA3","poor",0.689,0.871,1
"1148","P07910","P62701",1,1,"HNRNPC","RPS4X","poor",0.711,0.783,0.259
"1149","P07910","Q02539",1,1,"HNRNPC","H1-1","poor",0.721,0.646,0.356
"1150","P07910","Q03001",1,1,"HNRNPC","DST","poor",0.65,0.492,0.222
"1151","P07910","Q12972",1,1,"HNRNPC","PPP1R8","poor",0.743,0.656,0.552
"1152","P07910","Q14684",1,1,"HNRNPC","RRP1B","poor",0.752,0.771,0.432
"1153","P07910","Q5SRE5",1,1,"HNRNPC","NUP188","poor",0.632,0.224,0.073
"1154","P07910","Q8TAQ2",1,1,"HNRNPC","SMARCC2","poor",0.671,0.618,0.392
"1155","P07910","Q9BSV6",1,1,"HNRNPC","TSEN34","poor",0.568,0.542,0.467
"1156","P07910","Q9UKM9",8,6,"HNRNPC","RALY","rich",0.612,0.774,0.474
"1157","P07951","P09493",2,2,"TPM2","TPM1","rich",0.827,0.943,0.386
"1158","P07951","P60709",34,10,"TPM2","ACTB","rich",0.466,0.554,0.142
"1159","P07951","P62736",33,9,"TPM2","ACTA2","rich",0.518,0.29,0.165
"1160","P07951","P63261",34,10,"TPM2","ACTG1","rich",0.537,0.572,0.196
"1161","P07951","P63267",34,10,"TPM2","ACTG2","rich",0.568,0.164,0.104
"1162","P07951","P68032",34,10,"TPM2","ACTC1","rich",0.582,0.368,0.373
"1163","P07951","P68133",34,10,"TPM2","ACTA1","rich",0.693,0.521,0.328
"1164","P07951","Q562R1",16,3,"TPM2","ACTBL2","poor",0.561,0.53,0.349
"1165","P07954","Q9BQG0",1,1,"FH","MYBBP1A","poor",0.715,0.231,0.244
"1166","P08069","P46940",1,1,"IGF1R","IQGAP1","poor",0.584,0.509,0.431
"1167","P08133","P42766",1,1,"ANXA6","RPL35","poor",0.625,0.244,0.071
"1168","P08237","Q01813",5,2,"PFKM","PFKP","rich",0.835,0.935,0.595
"1169","P08238","P0C0S5",1,1,"HSP90AB1","H2AZ1","poor",0.484,0.551,0.256
"1170","P08238","P0DMV8",4,3,"HSP90AB1","HSPA1A","rich",0.784,0.791,0.566
"1171","P08238","P0DMV9",4,3,"HSP90AB1","HSPA1B","rich",0.772,0.792,0.523
"1172","P08238","P11142",9,5,"HSP90AB1","HSPA8","rich",0.789,0.792,0.44
"1173","P08238","P14618",2,1,"HSP90AB1","PKM","poor",0.742,0.657,0.257
"1174","P08238","P17066",1,1,"HSP90AB1","HSPA6","poor",0.763,0.74,0.285
"1175","P08238","P26639",1,1,"HSP90AB1","TARS1","poor",0.5,0.634,0.346
"1176","P08238","P31948",2,2,"HSP90AB1","STIP1","rich",0.653,0.623,0.66
"1177","P08238","P34931",1,1,"HSP90AB1","HSPA1L","poor",0.716,0.734,0.257
"1178","P08238","P46013",2,1,"HSP90AB1","MKI67","poor",0.596,0.656,0.264
"1179","P08238","P46940",1,1,"HSP90AB1","IQGAP1","poor",0.7,0.609,0.383
"1180","P08238","P50570",1,1,"HSP90AB1","DNM2","poor",0.639,0.623,0.361
"1181","P08238","P53985",1,1,"HSP90AB1","SLC16A1","poor",0.605,0.516,0.22
"1182","P08238","P54652",2,2,"HSP90AB1","HSPA2","rich",0.731,0.764,0.412
"1183","P08238","P55209",1,1,"HSP90AB1","NAP1L1","poor",0.671,0.599,0.289
"1184","P08238","P78362",2,1,"HSP90AB1","SRPK2","poor",0.638,0.615,0.392
"1185","P08238","Q02790",2,2,"HSP90AB1","FKBP4","rich",0.79,0.656,0.369
"1186","P08238","Q13207",1,1,"HSP90AB1","TBX2","poor",0.61,0.574,0.331
"1187","P08238","Q15050",1,1,"HSP90AB1","RRS1","poor",0.483,0.62,0.233
"1188","P08238","Q15185",3,1,"HSP90AB1","PTGES3","poor",0.64,0.588,0.526
"1189","P08238","Q16543",1,1,"HSP90AB1","CDC37","poor",0.628,0.705,0.387
"1190","P08238","Q71UI9",1,1,"HSP90AB1","H2AZ2","poor",0.462,0.407,0.218
"1191","P08238","Q8IWJ2",2,1,"HSP90AB1","GCC2","poor",0.619,0.581,0.19
"1192","P08238","Q8WXH0",3,1,"HSP90AB1","SYNE2","poor",0.644,0.543,0.163
"1193","P08238","Q8WZ42",2,1,"HSP90AB1","TTN","poor",0.592,0.609,0.3
"1194","P08238","Q96BJ3",1,1,"HSP90AB1","AIDA","poor",0.584,0.566,0.231
"1195","P08238","Q96EP5",1,1,"HSP90AB1","DAZAP1","poor",0.642,0.63,0.26
"1196","P08238","Q96J77",6,1,"HSP90AB1","TPD52L3","poor",1,1,0
"1197","P08238","Q9BXP5",1,1,"HSP90AB1","SRRT","poor",0.637,0.606,0.258
"1198","P08238","Q9NVI1",1,1,"HSP90AB1","FANCI","poor",0.673,0.611,0.319
"1199","P08238","Q9P2N5",1,1,"HSP90AB1","RBM27","poor",0.589,0.289,0.293
"1200","P08238","Q9UBE0",1,1,"HSP90AB1","SAE1","poor",0.613,0.584,0.246
"1201","P08238","Q9UKD2",3,1,"HSP90AB1","MRTO4","poor",0.544,0.616,0.187
"1202","P08238","Q9UPE1",2,1,"HSP90AB1","SRPK3","poor",0.596,0.566,0.319
"1203","P08240","P30050",1,1,"SRPRA","RPL12","poor",0.541,0.448,0.04
"1204","P08579","P62318",5,2,"SNRPB2","SNRPD3","rich",0.855,0.723,0.777
"1205","P08579","P78527",3,2,"SNRPB2","PRKDC","poor",0.61,0.475,0.131
"1206","P08621","P14678",8,1,"SNRNP70","SNRPB","poor",0.804,0.791,0.528
"1207","P08670","P08727",2,1,"VIM","KRT19","poor",0.76,0.701,0.367
"1208","P08670","P08729",6,2,"VIM","KRT7","poor",0.777,0.632,0.327
"1209","P08670","P08779",2,1,"VIM","KRT16","poor",0.784,0.715,0.385
"1210","P08670","P0DMR1",3,1,"VIM","HNRNPCL4","poor",0.671,0.847,0
"1211","P08670","P12035",6,2,"VIM","KRT3","poor",0.671,0.632,0.392
"1212","P08670","P13645",2,1,"VIM","KRT10","poor",0.791,0.634,0.346
"1213","P08670","P13647",6,2,"VIM","KRT5","poor",0.752,0.74,0.334
"1214","P08670","P19012",2,1,"VIM","KRT15","poor",0.746,0.756,0.344
"1215","P08670","P35908",6,2,"VIM","KRT2","poor",0.756,0.707,0.328
"1216","P08670","P40818",1,1,"VIM","USP8","poor",0.549,0.497,0.247
"1217","P08670","P48668",6,2,"VIM","KRT6C","poor",0.671,0.632,0.366
"1218","P08670","Q01546",6,2,"VIM","KRT76","poor",0.696,0.632,0.341
"1219","P08670","Q04695",20,10,"VIM","KRT17","rich",0.717,0.696,0.379
"1220","P08670","Q5XKE5",6,2,"VIM","KRT79","poor",0.64,0.645,0.327
"1221","P08670","Q8WTT2",1,1,"VIM","NOC3L","poor",0.496,0.471,0.226
"1222","P08670","Q99456",2,1,"VIM","KRT12","poor",0.726,0.743,0.338
"1223","P08670","Q9C0D5",1,1,"VIM","TANC1","poor",0.311,1,0.18
"1224","P08670","Q9NSB2",6,2,"VIM","KRT84","poor",0.64,0.401,0.332
"1225","P08708","P15880",1,1,"RPS17","RPS2","poor",0.857,0.645,0.618
"1226","P08708","P23396",3,1,"RPS17","RPS3","poor",0.808,0.428,0.325
"1227","P08727","P08729",13,4,"KRT19","KRT7","poor",0.715,0.726,0.515
"1228","P08727","P13647",1,1,"KRT19","KRT5","poor",0.747,0.839,0.457
"1229","P08727","P17661",2,1,"KRT19","DES","poor",0.766,0.874,0.378
"1230","P08727","P78385",4,1,"KRT19","KRT83","poor",0.59,0.726,0.468
"1231","P08727","P78386",4,1,"KRT19","KRT85","poor",0.59,0.795,0.506
"1232","P08727","Q14533",4,1,"KRT19","KRT81","poor",0.59,0.726,0.515
"1233","P08727","Q9NSB2",4,1,"KRT19","KRT84","poor",0.641,0.662,0.478
"1234","P08729","P08779",13,4,"KRT7","KRT16","poor",0.92,0.772,0.536
"1235","P08729","P13645",13,4,"KRT7","KRT10","poor",0.865,0.931,0.609
"1236","P08729","P13647",35,5,"KRT7","KRT5","poor",0.941,0.889,0.577
"1237","P08729","P19012",13,4,"KRT7","KRT15","poor",0.958,0.775,0.732
"1238","P08729","P42285",1,1,"KRT7","MTREX","poor",0.58,0.421,0.098
"1239","P08729","Q03989",1,1,"KRT7","ARID5A","poor",0.521,0.479,0.125
"1240","P08729","Q04695",157,42,"KRT7","KRT17","rich",0.798,0.871,0.631
"1241","P08729","Q99456",13,4,"KRT7","KRT12","poor",0.903,0.743,0.579
"1242","P08779","P13647",1,1,"KRT16","KRT5","poor",0.905,0.889,0.59
"1243","P08779","P17661",2,1,"KRT16","DES","poor",0.743,0.929,0.41
"1244","P08779","P78385",4,1,"KRT16","KRT83","poor",0.733,0.772,0.62
"1245","P08779","P78386",4,1,"KRT16","KRT85","poor",0.733,0.806,0.54
"1246","P08779","Q14533",4,1,"KRT16","KRT81","poor",0.733,0.772,0.536
"1247","P08779","Q9NSB2",4,1,"KRT16","KRT84","poor",0.813,0.692,0.551
"1248","P08865","P63220",8,2,"RPSA","RPS21","poor",0.798,0.805,0.533
"1249","P09012","P41250",1,1,"SNRPA","GARS1","poor",0.467,0.516,0.287
"1250","P09012","P62314",2,1,"SNRPA","SNRPD1","poor",0.818,0.817,1
"1251","P09012","Q9Y281",1,1,"SNRPA","CFL2","poor",0.449,0.571,0.105
"1252","P09104","P13929",1,1,"ENO2","ENO3","poor",0.924,0.862,1
"1253","P09104","P30046",1,1,"ENO2","DDT","poor",0.719,0.325,0.092
"1254","P09382","Q58FF7",1,1,"LGALS1","HSP90AB3P","poor",0.684,0.418,0.225
"1255","P09429","P68431",2,1,"HMGB1","H3C1","poor",0.685,0.609,0.216
"1256","P09429","P84243",2,1,"HMGB1","H3-3A","poor",0.694,0.523,0.177
"1257","P09429","Q09666",1,1,"HMGB1","AHNAK","poor",0.577,0.564,0.23
"1258","P09429","Q13191",2,1,"HMGB1","CBLB","poor",0.524,0.435,0.355
"1259","P09429","Q13206",2,1,"HMGB1","DDX10","poor",1,0.353,0.124
"1260","P09429","Q16695",2,1,"HMGB1","H3-4","poor",0.595,0.607,0.109
"1261","P09429","Q5TEC6",2,1,"HMGB1","H3-7","poor",0.549,0.491,0
"1262","P09429","Q6NXT2",2,1,"HMGB1","H3-5","poor",0.568,0.489,0.318
"1263","P09429","Q71DI3",2,1,"HMGB1","H3C15","poor",0.664,0.607,0.109
"1264","P09493","P60709",13,5,"TPM1","ACTB","rich",0.529,0.695,0.289
"1265","P09493","P62736",12,4,"TPM1","ACTA2","rich",0.622,0.335,0.284
"1266","P09493","P63261",13,5,"TPM1","ACTG1","rich",0.599,0.715,0.371
"1267","P09493","P63267",13,5,"TPM1","ACTG2","rich",0.627,0.18,0.122
"1268","P09493","P67936",1,1,"TPM1","TPM4","poor",0.782,0.9,0.343
"1269","P09493","P68032",13,5,"TPM1","ACTC1","rich",0.643,0.43,0.49
"1270","P09493","P68133",13,5,"TPM1","ACTA1","rich",0.771,0.666,0.327
"1271","P09493","Q562R1",5,1,"TPM1","ACTBL2","poor",0.564,0.639,0.298
"1272","P09496","Q00610",27,8,"CLTA","CLTC","rich",0.832,0.66,0.659
"1273","P09543","P68431",1,1,"CNP","H3C1","poor",0.555,0.603,0.14
"1274","P09543","P84243",1,1,"CNP","H3-3A","poor",0.503,0.487,0.114
"1275","P09543","Q16695",1,1,"CNP","H3-4","poor",0.419,0.596,0.128
"1276","P09543","Q71DI3",1,1,"CNP","H3C15","poor",0.519,0.596,0.128
"1277","P09601","P23527",1,1,"HMOX1","H2BC17","poor",0.715,0.647,0.078
"1278","P09601","P57053",1,1,"HMOX1","H2BC12L","poor",0.783,0.515,0.124
"1279","P09601","P58876",1,1,"HMOX1","H2BC5","poor",0.722,0.659,0
"1280","P09601","P62807",1,1,"HMOX1","H2BC4","poor",0.77,0.701,0.098
"1281","P09601","Q16778",1,1,"HMOX1","H2BC21","poor",0.77,0.647,0.098
"1282","P09601","Q6DN03",1,1,"HMOX1","H2BC20P","poor",0,0,0
"1283","P09601","Q6DRA6",1,1,"HMOX1","H2BC19P","poor",0.516,0.515,0
"1284","P09601","Q8N257",1,1,"HMOX1","H2BU1","poor",0,0,0
"1285","P09601","Q93079",1,1,"HMOX1","H2BC9","poor",0.694,0.687,0.078
"1286","P09601","Q99877",1,1,"HMOX1","H2BC15","poor",0.722,0.515,0.078
"1287","P09601","Q99880",1,1,"HMOX1","H2BC13","poor",0.722,0.647,0.078
"1288","P09622","Q9Y230",1,1,"DLD","RUVBL2","poor",0.513,0.465,0.214
"1289","P09651","P22626",19,9,"HNRNPA1","HNRNPA2B1","rich",0.95,0.916,0.604
"1290","P09651","P37802",2,1,"HNRNPA1","TAGLN2","poor",0.655,0.437,0.124
"1291","P09651","P42677",1,1,"HNRNPA1","RPS27","poor",0.747,0.748,0.231
"1292","P09651","P46013",1,1,"HNRNPA1","MKI67","poor",0.759,0.779,0.205
"1293","P09651","P57053",1,1,"HNRNPA1","H2BC12L","poor",0.748,0.594,0.077
"1294","P09651","P62081",1,1,"HNRNPA1","RPS7","poor",0.802,0.705,0.232
"1295","P09651","P68431",1,1,"HNRNPA1","H3C1","poor",0.788,0.659,0.229
"1296","P09651","P84243",1,1,"HNRNPA1","H3-3A","poor",0.755,0.485,0.133
"1297","P09651","Q13185",1,1,"HNRNPA1","CBX3","poor",0.685,0.527,0.344
"1298","P09651","Q14103",1,1,"HNRNPA1","HNRNPD","poor",0.749,0.76,0.376
"1299","P09651","Q15181",1,1,"HNRNPA1","PPA1","poor",0.654,0.151,0.195
"1300","P09651","Q16695",1,1,"HNRNPA1","H3-4","poor",0.713,0.659,0.128
"1301","P09651","Q5TEC6",1,1,"HNRNPA1","H3-7","poor",0.619,0.594,0
"1302","P09651","Q6NXT2",1,1,"HNRNPA1","H3-5","poor",0.642,0.482,0.189
"1303","P09651","Q6Y7W6",2,1,"HNRNPA1","GIGYF2","poor",0.668,0.719,0.244
"1304","P09651","Q71DI3",1,1,"HNRNPA1","H3C15","poor",0.714,0.659,0.128
"1305","P09651","Q71RC2",1,1,"HNRNPA1","LARP4","poor",0.62,0.78,0.255
"1306","P09651","Q92973",1,1,"HNRNPA1","TNPO1","poor",0.766,0.678,0.499
"1307","P09651","Q9BY77",1,1,"HNRNPA1","POLDIP3","poor",0.78,0.748,0.333
"1308","P09661","Q71UM5",1,1,"SNRPA1","RPS27L","poor",0.656,0.665,0.207
"1309","P09874","Q09666",2,1,"PARP1","AHNAK","poor",0.628,0.425,0.238
"1310","P09884","P0C0S5",4,1,"POLA1","H2AZ1","poor",0.702,0.573,0.279
"1311","P09884","P23528",1,1,"POLA1","CFL1","poor",0.608,0.475,0.139
"1312","P09884","Q71UI9",4,1,"POLA1","H2AZ2","poor",0.652,0.426,0.133
"1313","P0C0S5","P23527",18,7,"H2AZ1","H2BC17","rich",0.735,0.834,0.46
"1314","P0C0S5","P33778",17,6,"H2AZ1","H2BC3","rich",0.721,0.834,0.46
"1315","P0C0S5","P57053",2,2,"H2AZ1","H2BC12L","poor",0.75,0.784,0.055
"1316","P0C0S5","P58876",17,6,"H2AZ1","H2BC5","rich",0.831,0.804,0
"1317","P0C0S5","P62807",17,6,"H2AZ1","H2BC4","rich",0.809,0.831,0.182
"1318","P0C0S5","P68431",42,3,"H2AZ1","H3C1","rich",0.754,0.82,0.544
"1319","P0C0S5","P84243",42,3,"H2AZ1","H3-3A","rich",0.778,0.983,0.428
"1320","P0C0S5","Q16695",42,3,"H2AZ1","H3-4","rich",0.855,0.834,0.576
"1321","P0C0S5","Q16778",17,6,"H2AZ1","H2BC21","rich",0.809,0.834,0.182
"1322","P0C0S5","Q5QNW6",18,7,"H2AZ1","H2BC18","rich",0.831,0.755,0
"1323","P0C0S5","Q5TEC6",17,1,"H2AZ1","H3-7","poor",0.781,0.784,0
"1324","P0C0S5","Q641Q2",4,1,"H2AZ1","WASHC2A","poor",0.461,0.465,0.121
"1325","P0C0S5","Q6NXT2",42,3,"H2AZ1","H3-5","rich",0.863,0.848,0.261
"1326","P0C0S5","Q71DI3",42,3,"H2AZ1","H3C15","rich",0.841,0.834,0.576
"1327","P0C0S5","Q8N257",13,5,"H2AZ1","H2BU1","rich",0,0,0
"1328","P0C0S5","Q93079",18,7,"H2AZ1","H2BC9","rich",0.785,0.796,0.46
"1329","P0C0S5","Q96A08",13,5,"H2AZ1","H2BC1","rich",0.721,0.769,0.401
"1330","P0C0S5","Q99877",17,6,"H2AZ1","H2BC15","rich",0.831,0.784,0.46
"1331","P0C0S5","Q99879",17,6,"H2AZ1","H2BC14","rich",0.831,0.784,0.46
"1332","P0C0S5","Q99880",17,6,"H2AZ1","H2BC13","rich",0.831,0.834,0.46
"1333","P0C0S8","P10412",32,13,"H2AC11","H1-4","rich",0.821,0.831,0.277
"1334","P0C0S8","P10809",1,1,"H2AC11","HSPD1","poor",0.419,0.55,0.228
"1335","P0C0S8","P16401",27,9,"H2AC11","H1-5","rich",0.762,0.831,0.376
"1336","P0C0S8","P16402",26,10,"H2AC11","H1-3","rich",0.808,0.646,0.277
"1337","P0C0S8","P16403",35,15,"H2AC11","H1-2","rich",0.821,0.831,0.277
"1338","P0C0S8","P18754",1,1,"H2AC11","RCC1","poor",0.636,0.725,0.33
"1339","P0C0S8","P20936",1,1,"H2AC11","RASA1","poor",0.297,0.536,0.173
"1340","P0C0S8","P21333",1,1,"H2AC11","FLNA","poor",0.413,0.641,0.188
"1341","P0C0S8","P22492",6,3,"H2AC11","H1-6","rich",0.86,0.645,0.315
"1342","P0C0S8","P23527",21,11,"H2AC11","H2BC17","rich",0.763,0.889,0.373
"1343","P0C0S8","P24043",1,1,"H2AC11","LAMA2","poor",0.252,0.61,0.206
"1344","P0C0S8","P25205",1,1,"H2AC11","MCM3","poor",0.502,0.524,0.167
"1345","P0C0S8","P33778",8,6,"H2AC11","H2BC3","rich",0.729,0.889,0.373
"1346","P0C0S8","P51825",1,1,"H2AC11","AFF1","poor",0.461,1,0.211
"1347","P0C0S8","P57053",25,11,"H2AC11","H2BC12L","rich",0.778,0.795,0.167
"1348","P0C0S8","P58876",96,22,"H2AC11","H2BC5","rich",0.88,0.846,0
"1349","P0C0S8","P60709",1,1,"H2AC11","ACTB","poor",0.453,0.672,0.209
"1350","P0C0S8","P62805",38,11,"H2AC11","H4C1","rich",0.752,0.843,0.471
"1351","P0C0S8","P62807",105,25,"H2AC11","H2BC4","rich",0.848,0.878,0.241
"1352","P0C0S8","P63261",1,1,"H2AC11","ACTG1","poor",0.42,0.605,0.203
"1353","P0C0S8","P63267",1,1,"H2AC11","ACTG2","poor",0.45,0.192,0.141
"1354","P0C0S8","P68032",1,1,"H2AC11","ACTC1","poor",0.402,0.343,0.251
"1355","P0C0S8","P68133",1,1,"H2AC11","ACTA1","poor",0.439,0.549,0.237
"1356","P0C0S8","P68431",159,22,"H2AC11","H3C1","rich",0.775,0.865,0.513
"1357","P0C0S8","P84243",153,20,"H2AC11","H3-3A","rich",0.797,0.849,0.416
"1358","P0C0S8","Q00839",1,1,"H2AC11","HNRNPU","poor",0.47,0.477,0.229
"1359","P0C0S8","Q02539",26,8,"H2AC11","H1-1","rich",0.75,0.823,0.279
"1360","P0C0S8","Q15003",3,1,"H2AC11","NCAPH","poor",0.527,0.664,0.304
"1361","P0C0S8","Q15651",3,1,"H2AC11","HMGN3","poor",0.686,0.738,0.935
"1362","P0C0S8","Q16695",138,18,"H2AC11","H3-4","rich",0.899,0.889,0.591
"1363","P0C0S8","Q16778",68,17,"H2AC11","H2BC21","rich",0.848,0.889,0.241
"1364","P0C0S8","Q5QNW6",72,16,"H2AC11","H2BC18","rich",0.88,0.758,0
"1365","P0C0S8","Q5T200",1,1,"H2AC11","ZC3H13","poor",0.605,0.611,0.157
"1366","P0C0S8","Q5TEC6",82,15,"H2AC11","H3-7","rich",0.833,0.795,0
"1367","P0C0S8","Q6DN03",12,5,"H2AC11","H2BC20P","rich",0,0,0
"1368","P0C0S8","Q6DRA6",12,5,"H2AC11","H2BC19P","rich",0.86,0.795,0
"1369","P0C0S8","Q6NXT2",153,20,"H2AC11","H3-5","rich",0.803,0.976,0.221
